,indice,page_number,line_number,text,text_type,speaker,time_added
2791,7706,297,10,Okay.,q,MR. CROKE,start_answer
2792,7707,297,11,That's a generic answer.,a,THE WITNESS,start_question
2793,7708,297,12,"Uh-huh, sure.",q,MR. CROKE,start_answer
2794,7709,297,13,Yeah.,a,THE WITNESS,is brackets
2795,7710,297,14,"(Mathur Exhibit 7, Abacus 2006-10 Limited, Note Valuation Report as of 7/23/18, Bates stamped ASTRA-00005681 through ASTRA-00005714, marked for identification, as of this date.)",brackets,,start_question
2796,7716,297,20,"This document marked as Mathur Exhibit 7, bearing production numbers ASTRA-00005681 through 5714. Do you recognize this document?",q,MR. CROKE,start_answer
2797,7720,297,24,"It says:  Abacus 2006-10 Limited, Note Valuation Report as of July 23, 2018.",a,THE WITNESS,start_answer
2798,7723,298,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
2799,7724,298,2,"If you turn to page 6 of the document, so the Bates number in the bottom right corner is 5687. Do you see the column titled ""Closing Balance"" in the middle of the page?",q,MR. CROKE,start_answer
2800,7730,298,8,Uh-huh.,a,THE WITNESS,start_question
2801,7731,298,9,"And then for the Class A notes, do you see that there is a percentage here it says 93.66 percent?",q,MR. CROKE,start_answer
2802,7734,298,12,Yeah.,a,THE WITNESS,start_question
2803,7735,298,13,Is that the factor for the Class A notes listed in the trustee report?,q,MR. CROKE,start_answer
2804,7737,298,15,That's one way to put it.,a,THE WITNESS,start_question
2805,7738,298,16,Is that how you would put it?,q,MR. CROKE,start_answer
2806,7739,298,17,No.,a,THE WITNESS,start_question
2807,7740,298,18,Okay.  How would you put it?,q,MR. CROKE,start_answer
2808,7741,298,19,Pool factor.,a,THE WITNESS,start_question
2809,7742,298,20,"Pool factor, okay. So I think as we discussed, if you multiply this percentage by the original face value of the notes, that yields the outstanding face value of the notes as reflected in the trustee reports,",q,MR. CROKE,start_answer
2810,7749,299,1,Mathur - Attorneys' Eyes Only is that correct?,a,THE WITNESS,start_answer
2811,7751,299,3,Generally speaking.,a,THE WITNESS,start_question
2812,7752,299,4,"I have a calculator if you want to check the math, but I can represent to you that 93.66 percent times 47.5 million, original face value, yields an outstanding face value of approximately 44.5 million.",q,MR. CROKE,start_answer
2813,7757,299,9,Okay.,a,THE WITNESS,start_question
2814,7758,299,10,"And then if you multiply that outstanding face value by the valuation that Astra has as of the end of July 2018, is that the process you would follow to calculate the valuation of the notes that Astra at that point held?",q,MR. CROKE,start_answer
2815,7764,299,16,Uh-huh.,a,THE WITNESS,start_question
2816,7765,299,17,Okay.,q,MR. CROKE,start_answer
2817,7766,299,18,"Sorry, I didn't understand the question, just the last part.",a,THE WITNESS,start_question
2818,7768,299,20,"So is that the process you would follow, you'd multiply the original face value times the pool factor as of that month times the valuation that Astra had for those notes --",q,MR. CROKE,start_answer
2819,7773,299,25,Not necessarily.  I'm just simply,a,THE WITNESS,start_answer
2820,7775,300,1,Mathur - Attorneys' Eyes Only saying it goes to the valuation procedures and the valuation procedure will determine what the value of the security is.,a,THE WITNESS,start_question
2821,7779,300,5,"Sorry, I'm not asking whether the factor is the cause of anything in the valuation.  I'm just saying that if you were trying to determine the value of the notes that Astra held on its books based on Astra's valuation policy, if you have a value of 31.02 percent of the outstanding face and then you multiply that times the outstanding face of 44.5 at this point, that's what yields the value of the notes that Astra holds at that point?",q,MR. CROKE,start_answer
2822,7790,300,16,"47.5, you mean?",a,THE WITNESS,start_question
2823,7791,300,17,"Well, 47.5 multiplied by the pool factor, correct?",q,MR. CROKE,start_answer
2824,7793,300,19,That is correct.,a,THE WITNESS,start_question
2825,7794,300,20,Because the price is percentage of outstanding.,q,MR. CROKE,start_answer
2826,7796,300,22,"Got it, got it.",a,THE WITNESS,start_question
2827,7797,300,23,"So if you multiplied 31.02 as the price, times the 47.5 original face value, times the pool factor of 93.66 --",q,MR. CROKE,start_answer
2828,7801,301,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_answer
2829,7802,301,2,Correct.,a,THE WITNESS,start_question
2830,7803,301,3,"Okay, so I'll represent to you that that's a valuation of approximately 13.8 million as of the end of July 2018.",q,MR. CROKE,start_answer
2831,7806,301,6,Okay.,a,THE WITNESS,start_question
2832,7807,301,7,And that's the valuation of these notes that were held at Astra at that point.,q,MR. CROKE,start_answer
2833,7810,301,10,Okay.,a,THE WITNESS,start_question
2834,7811,301,11,"Is that correct, that that's the process you would follow to get to that number?",q,MR. CROKE,start_chat
2835,7814,301,14,Let me just object for a minute because there's just a long colloquy and maybe we can get to a question that you can answer.,side_chat,MR. ITKIN,start_answer
2836,7818,301,18,What is the question?,a,THE WITNESS,start_question
